HFPO-DA(GEN X);PFBA;PFBS;PFDA;PFHpA;PFHxA;PFHxS;PFNA;PFOA;PFOS;Sum PFAS-4
;;;;;;;;;0.0037;
;;;;;;;;;0.0036;
;;;;;;;;;0.0035;
;;;;;;;;;0.003;
;;;;;;;;;0.0029;
;;;;;;;;;0.0028;
;;;;;;;;;0.0025;
;;;;;;;;;0.0022;
;;;;;;;;;0.0022;
;;;;;;;;;0.0021;
;;;;;;;;;0.002;
;;;;;;;;;0.0017;
;;;;;;;;;0.0016;
;;;;;;;;;0.0016;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.0015;
;;;;;;;;;0.00125;
;;;;;;;;;0.001;
;;;;;;;;;0.00075;
